trajectory_id,time,position,velocity,energy
run-000,0,0.25,0,0.03146484375
run-000,0.025,0.249920800781,-0.0063349066856,0.031464840485
run-000,0.05,0.249683254666,-0.0126656909396,0.0314648306991
run-000,0.075,0.249287516234,-0.0189882336324,0.0314648144205
run-000,0.1,0.248733842984,-0.0252984222329,0.0314647916954
run-000,0.125,0.248022595123,-0.0315921540919,0.0314647625885
run-000,0.15,0.24715423528,-0.037865339708,0.0314647271828
run-000,0.175,0.246129328137,-0.0441139059688,0.0314646855787
run-000,0.2,0.244948539981,-0.0503337993619,0.0314646378943
run-000,0.225,0.243612638169,-0.0565209891512,0.0314645842646
run-000,0.25,0.242122490524,-0.0626714705101,0.031464524841
run-000,0.275,0.240479064644,-0.0687812676095,0.0314644597908
run-000,0.3,0.238683427143,-0.0748464366535,0.031464389297
run-000,0.325,0.236736742811,-0.0808630688576,0.0314643135568
run-000,0.35,0.2346402737,-0.0868272933668,0.0314642327817
run-000,0.375,0.232395378143,-0.0927352801065,0.0314641471964
run-000,0.4,0.230003509695,-0.0985832425645,0.031464057038
run-000,0.425,0.227466216014,-0.104367440498,0.0314639625552
run-000,0.45,0.22478513767,-0.110084182566,0.0314638640078
run-000,0.475,0.221962006886,-0.115729828875,0.0314637616652
run-000,0.5,0.218998646226,-0.121300793453,0.031463655806
run-000,0.525,0.215896967213,-0.126793546622,0.031463546717
run-000,0.55,0.212658968895,-0.132204617298,0.0314634346922
run-000,0.575,0.209286736349,-0.13753059519,0.0314633200318
run-000,0.6,0.205782439136,-0.142768132918,0.0314632030415
run-000,0.625,0.202148329703,-0.147913948027,0.0314630840312
run-000,0.65,0.198386741734,-0.152964824919,0.0314629633146
run-000,0.675,0.194500088457,-0.157917616686,0.0314628412078
run-000,0.7,0.1904908609,-0.162769246855,0.0314627180286
run-000,0.725,0.186361626114,-0.16751671103,0.0314625940955
run-000,0.75,0.182115025348,-0.172157078457,0.0314624697271
run-000,0.775,0.177753772191,-0.176687493487,0.0314623452408
run-000,0.8,0.173280650674,-0.181105176948,0.0314622209523
run-000,0.825,0.168698513344,-0.185407427442,0.0314620971747
run-000,0.85,0.164010279302,-0.18959162254,0.0314619742179
run-000,0.875,0.159218932217,-0.193655219903,0.0314618523873
run-000,0.9,0.154327518307,-0.197595758321,0.0314617319836
run-000,0.925,0.149339144301,-0.201410858665,0.0314616133022
run-000,0.95,0.144256975374,-0.205098224775,0.031461496632
